collected_at_utc,source_timestamp,ticker,spot,contracts,strikes,expirations,call_oi,put_oi,total_oi,net_gex,total_gex,call_gex,put_gex,call_wall_gex,put_wall_gex,zero_gamma,is_stale
2026-09-22T06:33:33.814769+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:34:35.589755+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:35:37.831366+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:36:39.497830+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:37:40.765412+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:38:43.195500+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:39:44.365024+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:40:45.842383+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:41:48.396730+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:42:49.841960+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:43:51.202553+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:44:53.273392+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:45:54.494921+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:46:56.154905+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:47:57.302532+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:48:59.036784+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:50:00.865669+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:51:01.976874+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:52:05.780631+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:53:07.643055+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:54:09.520691+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:55:10.777052+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:56:12.453790+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:57:13.664877+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:58:14.927794+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T06:59:18.084562+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:00:19.242075+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:01:22.128305+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:02:24.068293+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:03:26.281517+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:04:30.817310+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:05:32.867898+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:06:34.080779+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:07:36.509974+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:08:37.682117+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:09:38.815086+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:10:40.112956+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:11:41.429691+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:12:42.666187+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:13:43.900076+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:14:45.438980+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:15:46.676471+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
2026-09-22T07:16:47.951233+00:00,2026-09-22T00:03:13.903440203+00:00,QQQ,743.0,4842,201,31,2832128.0,3347436.0,6179564.0,4892473085.855585,16643882399.271072,10768177742.563328,-5875704656.707743,750.0,700.0,718.6616025608702,False
