ticker,source_timestamp,spot,strike,percent_from_spot,net_gex,total_gex,call_gex,put_gex,call_oi,put_oi,total_oi,call_contracts,put_contracts,expirations,call_volume,put_volume,total_volume,flow_trades,flow_size,flow_premium,flow_net_premium,flow_call_premium,flow_put_premium,flow_sweep_count,flow_block_count,flow_avg_heat
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,749.0,1.114418592093095,42537662.646871,47341724.375304356,44939693.51108768,-2402030.864216676,4264.0,194.0,4458.0,14,14,14,8630.0,0.0,8630.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,750.0,1.2494178158475584,572571130.5506433,860330564.665424,716450847.6080337,-143879717.0573903,148031.0,66807.0,214838.0,30,30,30,26263.0,0.0,26263.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,751.0,1.3844170396020217,21907006.499872286,23343422.8609953,22625214.68043379,-718208.1805615058,2163.0,73.0,2236.0,14,14,14,4096.0,0.0,4096.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,752.0,1.5194162633564852,49324558.232981555,49565572.70088389,49445065.46693272,-120507.23395116563,5506.0,15.0,5521.0,14,14,14,6357.0,0.0,6357.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,753.0,1.6544154871109484,23305172.498332795,23385544.5994284,23345358.5488806,-40186.0505478031,2747.0,5.0,2752.0,14,14,14,3993.0,0.0,3993.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,754.0,1.789414710865412,11721787.33188252,11798994.613967046,11760390.972924784,-38603.64104226377,1409.0,6.0,1415.0,14,14,14,5551.0,0.0,5551.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,755.0,1.9244139346198754,242708078.7882083,271179070.4750991,256943574.6316537,-14235495.843445405,55791.0,6711.0,62502.0,30,30,30,3083.0,0.0,3083.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,756.0,2.0594131583743387,17991888.204621088,18434739.853933662,18213314.029277373,-221425.8246562868,2801.0,27.0,2828.0,14,14,14,2943.0,0.0,2943.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,757.0,2.194412382128802,18315003.540332038,18365112.424095437,18340057.982213736,-25054.44188170021,4281.0,5.0,4286.0,14,14,14,1837.0,0.0,1837.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,758.0,2.3294116058832652,18547324.64463688,18893887.135622356,18720605.89012962,-173281.24549273824,4729.0,49.0,4778.0,14,14,14,1774.0,0.0,1774.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,759.0,2.4644108296377287,14494442.05732137,14548586.553323647,14521514.30532251,-27072.248001139073,2951.0,4.0,2955.0,14,14,14,755.0,0.0,755.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,760.0,2.599410053392192,302479385.8066997,373626316.3691833,338052851.0879415,-35573465.28124183,94777.0,15092.0,109869.0,30,30,30,4221.0,0.0,4221.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,761.0,2.7344092771466557,1874374.7891580877,1881385.5022393551,1877880.1456987215,-3505.3565406337534,373.0,1.0,374.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,762.0,2.869408500901119,1381925.7401527024,1422231.1030513286,1402078.4216020154,-20152.681449313044,238.0,4.0,242.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,763.0,3.0044077246555827,583119.0067408981,590109.4734326073,586614.2400867527,-3495.2333458545268,103.0,1.0,104.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,764.0,3.1394069484100458,901338.826858319,908317.5158038953,904828.1713311072,-3489.344472788186,167.0,1.0,168.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,765.0,3.2744061721645097,154551958.28603208,188628242.1996209,171590100.2428265,-17038141.956794415,53093.0,7802.0,60895.0,30,30,30,3042.0,0.0,3042.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,766.0,3.4094053959189727,860073.3767529329,860073.3767529329,860073.3767529329,0.0,179.0,0.0,179.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,767.0,3.5444046196734367,1671582.6547546727,1708869.9804573555,1690226.3176060142,-18643.662851341447,359.0,5.0,364.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,768.0,3.6794038434278997,511834.2842669692,511834.2842669692,511834.2842669692,0.0,114.0,0.0,114.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,769.0,3.814403067182363,549581.0292301422,549581.0292301422,549581.0292301422,0.0,132.0,0.0,132.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,770.0,3.9494022909368267,318371780.1712231,354263411.1630233,336317595.6671232,-17945815.495900102,102463.0,7988.0,110451.0,30,30,30,977.0,0.0,977.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,771.0,4.084401514691289,883215.4634705671,896876.5878508491,890046.0256607081,-6830.562190141009,247.0,2.0,249.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,772.0,4.219400738445754,784117.5778890922,838534.6438350299,811326.110862061,-27208.53297296886,241.0,8.0,249.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,773.0,4.354399962200216,153659.20387399517,153659.20387399517,153659.20387399517,0.0,48.0,0.0,48.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,774.0,4.489399185954681,110857.83365111168,110857.83365111168,110857.83365111168,0.0,38.0,0.0,38.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,775.0,4.624398409709143,145745644.737411,175820572.2983284,160783108.51786968,-15037463.7804587,61740.0,7483.0,69223.0,30,30,30,1997.0,0.0,1997.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,776.0,4.759397633463607,497527.8870215788,497527.8870215788,497527.8870215788,0.0,196.0,0.0,196.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,777.0,4.89439685721807,599889.6764514237,606506.8587647056,603198.2676080646,-3308.5911566409395,237.0,1.0,238.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,778.0,5.029396080972534,489810.6924490955,489810.6924490955,489810.6924490955,0.0,224.0,0.0,224.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,779.0,5.164395304726997,268853.2240134735,294963.9225910078,281908.57330224063,-13055.34928876713,133.0,4.0,137.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,780.0,5.299394528481461,175163182.1753345,197842322.81928906,186502752.4973118,-11339570.321977274,73561.0,5943.0,79504.0,30,30,30,555.0,0.0,555.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,781.0,5.434393752235924,270611.41498143715,277046.27915509726,273828.8470682672,-3217.4320868300506,157.0,1.0,158.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,782.0,5.569392975990387,573845.5090841998,573845.5090841998,573845.5090841998,0.0,307.0,0.0,307.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,783.0,5.704392199744851,544512.7069028036,544512.7069028036,544512.7069028036,0.0,320.0,0.0,320.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,784.0,5.839391423499314,357252.0032601644,357252.0032601644,357252.0032601644,0.0,172.0,0.0,172.0,2,2,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,785.0,5.974390647253778,39311569.212822385,49734075.55362801,44522822.383225195,-5211253.170402812,19408.0,3523.0,22931.0,30,30,30,976.0,0.0,976.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,786.0,6.109389871008241,363906.53040730633,363906.53040730633,363906.53040730633,0.0,298.0,0.0,298.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,787.0,6.244389094762704,150956.49600101824,150956.49600101824,150956.49600101824,0.0,130.0,0.0,130.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,788.0,6.379388318517168,152556.79898476854,152556.79898476854,152556.79898476854,0.0,141.0,0.0,141.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,789.0,6.514387542271631,164759.91950223022,164759.91950223022,164759.91950223022,0.0,164.0,0.0,164.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,790.0,6.649386766026094,86998976.6172755,105384340.55631374,96191658.58679461,-9192681.969519118,44109.0,4326.0,48435.0,30,30,30,155.0,0.0,155.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,791.0,6.784385989780558,138761.5777889185,138761.5777889185,138761.5777889185,0.0,158.0,0.0,158.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,792.0,6.919385213535022,139347.29954540514,139347.29954540514,139347.29954540514,0.0,168.0,0.0,168.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,793.0,7.054384437289485,51569.11026330712,51569.11026330712,51569.11026330712,0.0,64.0,0.0,64.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,794.0,7.189383661043948,143674.78747854245,143674.78747854245,143674.78747854245,0.0,195.0,0.0,195.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,795.0,7.324382884798412,46657535.055951096,56293792.39525608,51475663.72560359,-4818128.669652493,26420.0,3247.0,29667.0,29,29,29,29.0,0.0,29.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,796.0,7.459382108552876,103088.89151185546,103088.89151185546,103088.89151185546,0.0,153.0,0.0,153.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,797.0,7.594381332307338,53748.04436179916,53748.04436179916,53748.04436179916,0.0,85.0,0.0,85.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,798.0,7.729380556061802,91734.53152329155,91734.53152329155,91734.53152329155,0.0,149.0,0.0,149.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,799.0,7.8643797798162645,170322.01932310083,170322.01932310083,170322.01932310083,0.0,284.0,0.0,284.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,800.0,7.99937900357073,328230014.93422735,369303963.077744,348766989.0059857,-20536974.071758337,187173.0,15389.0,202562.0,29,29,29,422.0,0.0,422.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,801.0,8.134378227325193,53525.47701799574,53525.47701799574,53525.47701799574,0.0,102.0,0.0,102.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,802.0,8.269377451079656,95187.37601709554,95187.37601709554,95187.37601709554,0.0,186.0,0.0,186.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,803.0,8.404376674834118,57418.18484966334,57418.18484966334,57418.18484966334,0.0,115.0,0.0,115.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,804.0,8.539375898588581,97643.8438737626,97643.8438737626,97643.8438737626,0.0,210.0,0.0,210.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,805.0,8.674375122343045,68038356.43550074,77318296.53671165,72678326.4861062,-4639970.050605451,38326.0,2924.0,41250.0,29,29,29,294.0,0.0,294.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,806.0,8.80937434609751,27368.470338335457,27368.470338335457,27368.470338335457,0.0,65.0,0.0,65.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,807.0,8.944373569851972,43603.45141152624,43603.45141152624,43603.45141152624,0.0,106.0,0.0,106.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,808.0,9.079372793606435,19698.97861794499,19698.97861794499,19698.97861794499,0.0,49.0,0.0,49.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,809.0,9.2143720173609,38124.333818308856,38124.333818308856,38124.333818308856,0.0,97.0,0.0,97.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,810.0,9.349371241115364,85040211.87216967,103626457.24797215,94333334.56007092,-9293122.687901236,47731.0,5230.0,52961.0,29,29,29,1292.0,0.0,1292.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,811.0,9.484370464869826,30885.541976054516,30885.541976054516,30885.541976054516,0.0,87.0,0.0,87.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,812.0,9.619369688624289,16674.410103076298,16674.410103076298,16674.410103076298,0.0,48.0,0.0,48.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,813.0,9.754368912378752,11561.01839617953,11561.01839617953,11561.01839617953,0.0,34.0,0.0,34.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,814.0,9.889368136133218,14670.384615133651,14670.384615133651,14670.384615133651,0.0,47.0,0.0,47.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,815.0,10.02436735988768,68471646.01083457,78297984.22633763,73384815.11858611,-4913169.1077515315,40996.0,3052.0,44048.0,29,29,29,10.0,0.0,10.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,816.0,10.159366583642143,419534.1748900568,419534.1748900568,419534.1748900568,0.0,1401.0,0.0,1401.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,817.0,10.294365807396606,15258.405292702832,15258.405292702832,15258.405292702832,0.0,52.0,0.0,52.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,818.0,10.42936503115107,5752.156695081336,5752.156695081336,5752.156695081336,0.0,20.0,0.0,20.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,819.0,10.564364254905534,10151.107374334133,10151.107374334133,10151.107374334133,0.0,36.0,0.0,36.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,820.0,10.699363478659997,82096921.96396257,97266347.2146313,89681634.58929692,-7584712.625334362,57942.0,4148.0,62090.0,29,29,29,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,821.0,10.83436270241446,1356.237454797635,1356.237454797635,1356.237454797635,0.0,5.0,0.0,5.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,822.0,10.969361926168924,10645.469872336658,10645.469872336658,10645.469872336658,0.0,40.0,0.0,40.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
QQQ,2026-09-22 08:03:27.534334682+00:00,740.745,823.0,11.104361149923388,27424.42771262171,27424.42771262171,27424.42771262171,0.0,105.0,0.0,105.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
